[20:15:53][E][game_concepts.cpp:208]: Trying to add a Game Concept or Alias 'dominant' from concept 'dominant_family' that collides with an existing concept or alias 'dominant', this is not allowed
[20:17:21][E][eventmanager.cpp:237]: Event #ep3_laamp_decision_event.1030 has no options in events/dlc/ep3/OVERRIDE_ep3_laamp_decision_events.txt

[20:17:21][E][eventmanager.cpp:237]: Event #wanderer_lifestyle_events.30 has no options in events/lifestyles/wanderer_lifestyle/OVERRIDE_wanderer_generic_events.txt

[20:17:21][E][scripted_animation.cpp:114]: Triggered animation group has no 'trigger' defined near: file: events/travel_events/OVERRIDE_travel_events_filippa.txt line: 81 (travel_events.2002)
[20:17:27][E][jomini_eventtarget.cpp:661]: Nothing after the colon in event target link 'character:' at file: common/scripted_effects/history_characters_scripted_effects/awow_greek_history_after_effects.txt line: 11219 (greek0001_effect)
[20:17:27][E][jomini_eventtarget.cpp:661]: Nothing after the colon in event target link 'character:' at file: common/scripted_effects/history_characters_scripted_effects/awow_greek_history_after_effects.txt line: 11233 (greek0002_effect)
[20:17:27][E][jomini_eventtarget.cpp:661]: Nothing after the colon in event target link 'character:' at file: common/scripted_effects/history_characters_scripted_effects/awow_occitan_history_after_effects.txt line: 9192 (138404_effect)
[20:17:27][E][jomini_eventtarget.cpp:661]: Nothing after the colon in event target link 'character:' at file: common/scripted_effects/history_characters_scripted_effects/awow_occitan_history_after_effects.txt line: 2710 (71837_effect)
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:﻿100553
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:﻿100553
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:﻿100553
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:﻿194006
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:﻿194006
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:﻿194006
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:91433
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:91433
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:91433
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:﻿45107
[20:17:37][E][history.cpp:644]: Referencing non-existent character in script link character:﻿45107
